n,trial,window,true,pred,err,gen
1,0,5,1,,,::::::::::::::::::::
1,1,5,1,,,::::::::::::::::::::
1,2,5,1,,,::::::::::::::::::::
1,3,5,1,,,::::::::::::::::::::
1,4,5,0,,,::::::::::::::::::::
1,5,5,1,,,::::::::::::::::::::
1,6,5,1,,,::::::::::::::::::::
1,7,5,1,,,::::::::::::::::::::
1,8,5,0,,,::::::::::::::::::::
1,9,5,1,,,::::::::::::::::::::
2,0,5,2,,,::::::::::::::::::::
2,1,5,2,,,::::::::::::::::::::
2,2,5,1,,,::::::::::::::::::::
2,3,5,1,,,::::::::::::::::::::
2,4,5,2,,,::::::::::::::::::::
2,5,5,2,,,::::::::::::::::::::
2,6,5,2,,,::::::::::::::::::::
2,7,5,1,,,::::::::::::::::::::
2,8,5,1,,,::::::::::::::::::::
2,9,5,1,,,::::::::::::::::::::
5,0,5,5,,,::::::::::::::::::::
5,1,5,2,,,::::::::::::::::::::
5,2,5,5,,,::::::::::::::::::::
5,3,5,3,,,::::::::::::::::::::
5,4,5,3,,,::::::::::::::::::::
5,5,5,3,,,::::::::::::::::::::
5,6,5,5,,,::::::::::::::::::::
5,7,5,4,,,::::::::::::::::::::
5,8,5,2,,,::::::::::::::::::::
5,9,5,3,,,::::::::::::::::::::
10,0,5,6,,,::::::::::::::::::::
10,1,5,7,,,::::::::::::::::::::
10,2,5,7,,,::::::::::::::::::::
10,3,5,8,,,::::::::::::::::::::
10,4,5,6,,,::::::::::::::::::::
10,5,5,7,,,::::::::::::::::::::
10,6,5,8,,,::::::::::::::::::::
10,7,5,7,,,::::::::::::::::::::
10,8,5,7,,,::::::::::::::::::::
10,9,5,6,,,::::::::::::::::::::
15,0,5,10,,,::::::::::::::::::::
15,1,5,8,,,::::::::::::::::::::
15,2,5,11,,,::::::::::::::::::::
15,3,5,10,,,::::::::::::::::::::
15,4,5,12,,,::::::::::::::::::::
15,5,5,6,,,::::::::::::::::::::
15,6,5,8,,,::::::::::::::::::::
15,7,5,11,,,::::::::::::::::::::
15,8,5,11,,,::::::::::::::::::::
15,9,5,13,,,::::::::::::::::::::
20,0,5,13,,,::::::::::::::::::::
20,1,5,16,,,::::::::::::::::::::
20,2,5,16,,,::::::::::::::::::::
20,3,5,14,,,::::::::::::::::::::
20,4,5,10,,,::::::::::::::::::::
20,5,5,13,,,::::::::::::::::::::
20,6,5,14,,,::::::::::::::::::::
20,7,5,14,,,::::::::::::::::::::
20,8,5,19,,,::::::::::::::::::::
20,9,5,13,,,::::::::::::::::::::
30,0,5,19,,,::::::::::::::::::::
30,1,5,23,,,::::::::::::::::::::
30,2,5,24,,,::::::::::::::::::::
30,3,5,22,,,::::::::::::::::::::
30,4,5,22,,,::::::::::::::::::::
30,5,5,21,,,::::::::::::::::::::
30,6,5,19,,,::::::::::::::::::::
30,7,5,16,,,::::::::::::::::::::
30,8,5,21,,,::::::::::::::::::::
30,9,5,18,,,::::::::::::::::::::
50,0,5,40,,,::::::::::::::::::::
50,1,5,31,,,::::::::::::::::::::
50,2,5,32,,,::::::::::::::::::::
50,3,5,40,,,::::::::::::::::::::
50,4,5,38,,,::::::::::::::::::::
50,5,5,34,,,::::::::::::::::::::
50,6,5,35,,,::::::::::::::::::::
50,7,5,33,,,::::::::::::::::::::
50,8,5,31,,,::::::::::::::::::::
50,9,5,39,,,::::::::::::::::::::
75,0,5,55,,,
75,1,5,53,,,
75,2,5,52,,,
75,3,5,51,,,::::::::::::::::::::
75,4,5,54,,,
75,5,5,54,,,
75,6,5,53,,,
75,7,5,51,,,I: I I I I I I I I I I I I I I I I I I
75,8,5,54,,,
75,9,5,50,,,
100,0,5,67,,,
100,1,5,71,,,I I I I I I I I I I I I I I I I I I I
100,2,5,65,,,I I I I I I I I I I I I I I I I I I I
100,3,5,71,,,I I I I I I I I I I I I I I I I I I I
100,4,5,71,,,
100,5,5,76,,,
100,6,5,68,,,
100,7,5,68,,,!!!!!!!!!!!!!!!!!!!!
100,8,5,65,,,
100,9,5,68,,,
