n,trial,window,n_sinks,true,pred,err,gen
1,0,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,1,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,2,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,3,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,4,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,5,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,6,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,7,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,8,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
1,9,2,4,1,,,"I don't know.
Q: How many people are you?
A: I have a"
2,0,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,1,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,2,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,3,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,4,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,5,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,6,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,7,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,8,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
2,9,2,4,2,,,I think it's a lot of people are the number of people who are not in in in in
5,0,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,1,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,2,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,3,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,4,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,5,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,6,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,7,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,8,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
5,9,2,4,5,,,"I don't know.
Q: How many people are you?
A: I have a"
10,0,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,1,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,2,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,3,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,4,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,5,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,6,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,7,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,8,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
10,9,2,4,10,,,"I have a lot of people?
Q: How many people are you?
A: I"
15,0,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,1,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,2,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,3,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,4,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,5,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,6,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,7,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,8,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
15,9,2,4,15,,,"I don't know.
Q: How many people are you?
Q: How many times"
20,0,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,1,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,2,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,3,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,4,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,5,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,6,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,7,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,8,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
20,9,2,4,20,,,I think it's about a a a a a a a a a a a a a a a
30,0,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,1,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,2,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,3,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,4,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,5,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,6,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,7,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,8,2,4,30,,,"I don't know.
Q: How many people are there???????"
30,9,2,4,30,,,"I don't know.
Q: How many people are there???????"
50,0,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,1,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,2,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,3,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,4,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,5,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,6,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,7,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,8,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
50,9,2,4,50,,,I I I I I I I I I I I I I I I I I I I I
75,0,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,1,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,2,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,3,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,4,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,5,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,6,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,7,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,8,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
75,9,2,4,75,,,I: I: I: I: I: I: I: I: I: I:
100,0,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,1,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,2,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,3,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,4,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,5,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,6,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,7,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,8,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
100,9,2,4,100,,,"B:
Q: How How How How How How How How How How How How How How"
