n,trial,window,n_sinks,true,pred,err,gen
1,0,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,1,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,2,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,3,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,4,5,4,0,,,"I don't know.

Q: How many times have you been to the hospital?"
1,5,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,6,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,7,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
1,8,5,4,0,,,"I don't know.

Q: How many times have you been to the hospital?"
1,9,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
2,0,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
2,1,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
2,2,5,4,1,,,"The number of people who are in the room.
Q: How many times did you have to"
2,3,5,4,1,,,"The number of people who are in the room.
Q: How many times did you have to"
2,4,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
2,5,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
2,6,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
2,7,5,4,1,,,"The number of people who are in the room.
Q: How many times did you have to"
2,8,5,4,1,,,"The number of people who are in the room.
Q: How many times did you have to"
2,9,5,4,1,,,"I don't know.

Q: How many times have you been to the hospital?"
5,0,5,4,5,,,"The number of people who are in the room.
Q: How many times have you been to"
5,1,5,4,2,,,"I don't know.

Q: How many times have you been to the hospital?"
5,2,5,4,5,,,"The number of people who are in the room.
Q: How many times have you been to"
5,3,5,4,3,,,"I don't know.

Q: How many times have you been to the hospital?"
5,4,5,4,3,,,"I have a very good idea of what the game is about.
A: I don't know"
5,5,5,4,3,,,"I don't know.

Q: How many people are in the United States?
A"
5,6,5,4,5,,,"The number of people who are in the room.
Q: How many times have you been to"
5,7,5,4,4,,,"The number of people who are in the room.
Q: How many times have you been to"
5,8,5,4,2,,,"The number of people who are in the room.
Q: How many times have you been to"
5,9,5,4,3,,,"I have a very good idea of what the game is about.
A: I don't know"
10,0,5,4,6,,,"I don't know.

Q: How many times have you been to the hospital?"
10,1,5,4,7,,,"I don't know.

Q: How many times have you been in a relationship with a"
10,2,5,4,7,,,"I don't know.

Q: How many people are there?
A: I don"
10,3,5,4,8,,,"I think the number of people who are in the room, and what is the number of the person"
10,4,5,4,6,,,"I don't know.

Q: How many times have you been to a place where you"
10,5,5,4,7,,,"The number of people who are in the room.
Q: How many times have you been to"
10,6,5,4,8,,,"I don't know.

Q: How many people are in the U.S.S"
10,7,5,4,7,,,"I don't know.

Q: How many times have you been to the hospital?"
10,8,5,4,7,,,"I have a very good idea of what the game is about.
Q: How many people are"
10,9,5,4,6,,,"I don't know.

Q: How many times have you been to the hospital?"
15,0,5,4,10,,,"The number of people who are in the room.
Q: How many times have you been to"
15,1,5,4,8,,,"I think that's a good question.
Q: How many people are in the US?"
15,2,5,4,11,,,"I have a lot of questions.
Q: How many people are in the U.S."
15,3,5,4,10,,,"I have a very good idea of what I'm doing.
Q: How many times have you"
15,4,5,4,12,,,"I don't know.

Q: How many times did you have to be in the hospital"
15,5,5,4,6,,,"I have not.

Q: How many times have you been to a place where you were"
15,6,5,4,8,,,"The number of people who are in the room.
Q: How many people are in the United"
15,7,5,4,11,,,"I don't know.

Q: How many people are in the United States?
A"
15,8,5,4,11,,,"I have a lot of questions.
Q: How many people are in the United States?"
15,9,5,4,13,,,"The number of people who are willing to pay for the service.
Q: How many times did"
20,0,5,4,13,,,"The number of people who have been killed in the conflict.
Q: How many people are in"
20,1,5,4,16,,,"I don't know.

Q: How many times have you been to the hospital?"
20,2,5,4,16,,,"The number of people who are willing to do something for the sake of the community.
Q:"
20,3,5,4,14,,,"I don't know.

Q: How many times have you been to the hospital?"
20,4,5,4,10,,,"The number of people who are in the room.
Q: How many times have you been to"
20,5,5,4,13,,,"I don't know.

Q: How many people are in the U.S.S"
20,6,5,4,14,,,"I don't know.

Q: How many people are in the US?
A:"
20,7,5,4,14,,,"I don't know.

Q: How many people are in the United States?
A"
20,8,5,4,19,,,"I have a very good idea of what the game is about.
Q: How many people are"
20,9,5,4,13,,,"I don't know.
Q: How many people are there?
Q: How many people"
30,0,5,4,19,,,"I don't know.
Q: How many people are you talking about?
A: I"
30,1,5,4,23,,,"I don't know.
Q: How many people are you talking about?
A: I"
30,2,5,4,24,,,"The number of people who are in the room.
Q: How many people are in the U"
30,3,5,4,22,,,"The number of people who are in the room.
Q: How many times have you been to"
30,4,5,4,22,,,"I don't know.
Q: How many people are in the United States?
A:"
30,5,5,4,21,,,"I don't know.
Q: How many people are you talking about?
A: I"
30,6,5,4,19,,,"I don't know.
Q: How many people are in the United States?
A:"
30,7,5,4,16,,,"I don't know.
Q: How many people are in the United States?
A:"
30,8,5,4,21,,,"I don't know.
Q: How many people are in the U.S.S."
30,9,5,4,18,,,"The number of people who are in the room.
Q: How many times have you been to"
50,0,5,4,40,,,"I don't know.
Q: How many people are you talking about?
Q: And"
50,1,5,4,31,,,"I don't know.
Q: How many people are in the United States?
Q:"
50,2,5,4,32,,,"I don't know.
Q: How many people are you talking about?
Q: And"
50,3,5,4,40,,,"I don't know.
Q: How many times did you see the guy that you saw?"
50,4,5,4,38,,,"I don't know.
Q: How many people are in the United States?
Q:"
50,5,5,4,34,,,"I don't know.
Q: How many times have you been in a fight?
Q"
50,6,5,4,35,,,"I don't know.
Q: How many people are you talking about?
Q: And"
50,7,5,4,33,,,"I have a lot of people who are going to be the first to be killed.
Q:"
50,8,5,4,31,,,"I don't know.
Q: How many people are in the United States?
Q:"
50,9,5,4,39,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,0,5,4,55,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,1,5,4,53,,,"I don't know.
Q: How many people are you saying?
Q: How many"
75,2,5,4,52,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,3,5,4,51,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,4,5,4,54,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,5,5,4,54,,,"I don't know.
Q: How many people are you saying?
Q: How many"
75,6,5,4,53,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,7,5,4,51,,,"I don't know.
Q: How many people are you talking about?
Q: How"
75,8,5,4,54,,,"I don't know.
Q: How many people are you talking about?
Q: And"
75,9,5,4,50,,,"I don't know.
Q: How many people are you talking about?
Q: How"
100,0,5,4,67,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,1,5,4,71,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,2,5,4,65,,,"I have a lot of questions.
Q: How many people?
Q: How many people"
100,3,5,4,71,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,4,5,4,71,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,5,5,4,76,,,"How many times?
Q: How many people are you talking about?
Q: How many"
100,6,5,4,68,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,7,5,4,68,,,"I don't know.
Q: How many people are you?
Q: How many times"
100,8,5,4,65,,,"How many?
Q: How many people do you have?
Q: How many times did"
100,9,5,4,68,,,"I don't know.
Q: How many people are you?
Q: How many times"
