n,trial,window,true,pred,err,gen
1,0,2,1,,,::::::::::::::::::::
1,1,2,1,,,::::::::::::::::::::
1,2,2,1,,,::::::::::::::::::::
1,3,2,1,,,::::::::::::::::::::
1,4,2,1,,,::::::::::::::::::::
1,5,2,1,,,::::::::::::::::::::
1,6,2,1,,,
1,7,2,1,,,::::::::::::::::::::
1,8,2,1,,,::::::::::::::::::::
1,9,2,1,,,::::::::::::::::::::
2,0,2,2,,,::::::::::::::::::::
2,1,2,2,,,::::::::::::::::::::
2,2,2,2,,,::::::::::::::::::::
2,3,2,2,,,::::::::::::::::::::
2,4,2,2,,,::::::::::::::::::::
2,5,2,2,,,::::::::::::::::::::
2,6,2,2,,,::::::::::::::::::::
2,7,2,2,,,
2,8,2,2,,,::::::::::::::::::::
2,9,2,2,,,::::::::::::::::::::
5,0,2,5,,,::::::::::::::::::::
5,1,2,5,,,::::::::::::::::::::
5,2,2,5,,,::::::::::::::::::::
5,3,2,5,,,::::::::::::::::::::
5,4,2,5,,,::::::::::::::::::::
5,5,2,5,,,::::::::::::::::::::
5,6,2,5,,,::::::::::::::::::::
5,7,2,5,,,::::::::::::::::::::
5,8,2,5,,,::::::::::::::::::::
5,9,2,5,,,::::::::::::::::::::
10,0,2,10,,,::::::::::::::::::::
10,1,2,10,,,::::::::::::::::::::
10,2,2,10,,,::::::::::::::::::::
10,3,2,10,,,::::::::::::::::::::
10,4,2,10,,,::::::::::::::::::::
10,5,2,10,,,::::::::::::::::::::
10,6,2,10,,,::::::::::::::::::::
10,7,2,10,,,::::::::::::::::::::
10,8,2,10,,,::::::::::::::::::::
10,9,2,10,,,::::::::::::::::::::
15,0,2,15,,,::::::::::::::::::::
15,1,2,15,,,::::::::::::::::::::
15,2,2,15,,,::::::::::::::::::::
15,3,2,15,,,::::::::::::::::::::
15,4,2,15,,,::::::::::::::::::::
15,5,2,15,,,::::::::::::::::::::
15,6,2,15,,,::::::::::::::::::::
15,7,2,15,,,::::::::::::::::::::
15,8,2,15,,,::::::::::::::::::::
15,9,2,15,,,::::::::::::::::::::
20,0,2,20,,,::::::::::::::::::::
20,1,2,20,,,::::::::::::::::::::
20,2,2,20,,,::::::::::::::::::::
20,3,2,20,,,::::::::::::::::::::
20,4,2,20,,,::::::::::::::::::::
20,5,2,20,,,::::::::::::::::::::
20,6,2,20,,,::::::::::::::::::::
20,7,2,20,,,
20,8,2,20,,,::::::::::::::::::::
20,9,2,20,,,
30,0,2,30,,,
30,1,2,30,,,
30,2,2,30,,,
30,3,2,30,,,
30,4,2,30,,,
30,5,2,30,,,
30,6,2,30,,,
30,7,2,30,,,
30,8,2,30,,,
30,9,2,30,,,
50,0,2,50,,,
50,1,2,50,,,
50,2,2,50,,,
50,3,2,50,,,
50,4,2,50,,,
50,5,2,50,,,
50,6,2,50,,,
50,7,2,50,,,
50,8,2,50,,,
50,9,2,50,,,
75,0,2,75,,,
75,1,2,75,,,
75,2,2,75,,,
75,3,2,75,,,
75,4,2,75,,,
75,5,2,75,,,
75,6,2,75,,,
75,7,2,75,,,
75,8,2,75,,,
75,9,2,75,,,
100,0,2,100,,,::::::::::::::::::::
100,1,2,100,,,
100,2,2,100,,,
100,3,2,100,,,
100,4,2,100,,,
100,5,2,100,,,
100,6,2,100,,,
100,7,2,100,,,::::::::::::::::::::
100,8,2,100,,,
100,9,2,100,,,
