n,trial,window,true,pred,err,gen
1,0,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,1,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,2,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,3,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,4,2,0,,,
1,5,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,6,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,7,2,1,,,A A A A A A A A A A A A A A A A A A A A
1,8,2,0,,,
1,9,2,1,,,A A A A A A A A A A A A A A A A A A A A
2,0,2,2,,,::::::::::::::::::::
2,1,2,2,,,::::::::::::::::::::
2,2,2,1,,,
2,3,2,1,,,
2,4,2,2,,,::::::::::::::::::::
2,5,2,2,,,::::::::::::::::::::
2,6,2,2,,,::::::::::::::::::::
2,7,2,1,,,
2,8,2,1,,,
2,9,2,1,,,::::::::::::::::::::
5,0,2,5,,,::::::::::::::::::::
5,1,2,2,,,A A A A A A A A A A A A A A A A A A A A
5,2,2,5,,,::::::::::::::::::::
5,3,2,3,,,A A A A A A A A A A A A A A A A A A A A
5,4,2,3,,,A A A A A A A A A A A A A A A A A A A A
5,5,2,3,,,A A A A A A A A A A A A A A A A A A A A
5,6,2,5,,,::::::::::::::::::::
5,7,2,4,,,A A A A A A A A A A A A A A A A A A A A
5,8,2,2,,,::::::::::::::::::::
5,9,2,3,,,A A A A A A A A A A A A A A A A A A A A
10,0,2,6,,,A A A A A A A A A A A A A A A A A A A A
10,1,2,7,,,::::::::::::::::::::
10,2,2,7,,,A A A A A A A A A A A A A A A A A A A A
10,3,2,8,,,A A A A A A A A A A A A A A A A A A A A
10,4,2,6,,,::::::::::::::::::::
10,5,2,7,,,::::::::::::::::::::
10,6,2,8,,,::::::::::::::::::::
10,7,2,7,,,A A A A A A A A A A A A A A A A A A A A
10,8,2,7,,,A A A A A A A A A A A A A A A A A A A A
10,9,2,6,,,A A A A A A A A A A A A A A A A A A A A
15,0,2,10,,,::::::::::::::::::::
15,1,2,8,,,::::::::::::::::::::
15,2,2,11,,,::::::::::::::::::::
15,3,2,10,,,::::::::::::::::::::
15,4,2,12,,,::::::::::::::::::::
15,5,2,6,,,::::::::::::::::::::
15,6,2,8,,,::::::::::::::::::::
15,7,2,11,,,::::::::::::::::::::
15,8,2,11,,,::::::::::::::::::::
15,9,2,13,,,::::::::::::::::::::
20,0,2,13,,,::::::::::::::::::::
20,1,2,16,,,A A A A A A A A A A A A A A A A A A A A
20,2,2,16,,,A A A A A A A A A A A A A A A A A A A A
20,3,2,14,,,A A A A A A A A A A A A A A A A A A A A
20,4,2,10,,,A A A A A A A A A A A A A A A A A A A A
20,5,2,13,,,A A A A A A A A A A A A A A A A A A A A
20,6,2,14,,,A A A A A A A A A A A A A A A A A A A A
20,7,2,14,,,A A A A A A A A A A A A A A A A A A A A
20,8,2,19,,,::::::::::::::::::::
20,9,2,13,,,A A A A A A A A A A A A A A A A A A A A
30,0,2,19,,,::::::::::::::::::::
30,1,2,23,,,::::::::::::::::::::
30,2,2,24,,,::::::::::::::::::::
30,3,2,22,,,::::::::::::::::::::
30,4,2,22,,,::::::::::::::::::::
30,5,2,21,,,::::::::::::::::::::
30,6,2,19,,,::::::::::::::::::::
30,7,2,16,,,::::::::::::::::::::
30,8,2,21,,,::::::::::::::::::::
30,9,2,18,,,::::::::::::::::::::
50,0,2,40,,,::::::::::::::::::::
50,1,2,31,,,::::::::::::::::::::
50,2,2,32,,,::::::::::::::::::::
50,3,2,40,,,::::::::::::::::::::
50,4,2,38,,,::::::::::::::::::::
50,5,2,34,,,::::::::::::::::::::
50,6,2,35,,,::::::::::::::::::::
50,7,2,33,,,::::::::::::::::::::
50,8,2,31,,,::::::::::::::::::::
50,9,2,39,,,::::::::::::::::::::
75,0,2,55,,,::::::::::::::::::::
75,1,2,53,,,::::::::::::::::::::
75,2,2,52,,,::::::::::::::::::::
75,3,2,51,,,::::::::::::::::::::
75,4,2,54,,,::::::::::::::::::::
75,5,2,54,,,::::::::::::::::::::
75,6,2,53,,,::::::::::::::::::::
75,7,2,51,,,::::::::::::::::::::
75,8,2,54,,,::::::::::::::::::::
75,9,2,50,,,::::::::::::::::::::
100,0,2,67,,,
100,1,2,71,,,
100,2,2,65,,,
100,3,2,71,,,
100,4,2,71,,,
100,5,2,76,,,
100,6,2,68,,,
100,7,2,68,,,
100,8,2,65,,,
100,9,2,68,,,
