n,trial,window,true,pred,err,gen
1,0,9,1,,,::::::::::::::::::::
1,1,9,1,,,::::::::::::::::::::
1,2,9,1,,,::::::::::::::::::::
1,3,9,1,,,::::::::::::::::::::
1,4,9,0,,,::::::::::::::::::::
1,5,9,1,,,::::::::::::::::::::
1,6,9,1,,,::::::::::::::::::::
1,7,9,1,,,::::::::::::::::::::
1,8,9,0,,,::::::::::::::::::::
1,9,9,1,,,::::::::::::::::::::
2,0,9,2,,,::::::::::::::::::::
2,1,9,2,,,::::::::::::::::::::
2,2,9,1,,,::::::::::::::::::::
2,3,9,1,,,::::::::::::::::::::
2,4,9,2,,,::::::::::::::::::::
2,5,9,2,,,::::::::::::::::::::
2,6,9,2,,,::::::::::::::::::::
2,7,9,1,,,::::::::::::::::::::
2,8,9,1,,,::::::::::::::::::::
2,9,9,1,,,::::::::::::::::::::
5,0,9,5,,,::::::::::::::::::::
5,1,9,2,,,::::::::::::::::::::
5,2,9,5,,,::::::::::::::::::::
5,3,9,3,,,::::::::::::::::::::
5,4,9,3,,,::::::::::::::::::::
5,5,9,3,,,::::::::::::::::::::
5,6,9,5,,,::::::::::::::::::::
5,7,9,4,,,::::::::::::::::::::
5,8,9,2,,,::::::::::::::::::::
5,9,9,3,,,::::::::::::::::::::
10,0,9,6,,,::::::::::::::::::::
10,1,9,7,,,::::::::::::::::::::
10,2,9,7,,,::::::::::::::::::::
10,3,9,8,,,::::::::::::::::::::
10,4,9,6,,,::::::::::::::::::::
10,5,9,7,,,::::::::::::::::::::
10,6,9,8,,,::::::::::::::::::::
10,7,9,7,,,::::::::::::::::::::
10,8,9,7,,,::::::::::::::::::::
10,9,9,6,,,::::::::::::::::::::
15,0,9,10,,,::::::::::::::::::::
15,1,9,8,,,::::::::::::::::::::
15,2,9,11,,,::::::::::::::::::::
15,3,9,10,,,::::::::::::::::::::
15,4,9,12,,,::::::::::::::::::::
15,5,9,6,,,::::::::::::::::::::
15,6,9,8,,,::::::::::::::::::::
15,7,9,11,,,::::::::::::::::::::
15,8,9,11,,,::::::::::::::::::::
15,9,9,13,,,::::::::::::::::::::
20,0,9,13,,,::::::::::::::::::::
20,1,9,16,,,::::::::::::::::::::
20,2,9,16,,,::::::::::::::::::::
20,3,9,14,,,::::::::::::::::::::
20,4,9,10,,,::::::::::::::::::::
20,5,9,13,,,::::::::::::::::::::
20,6,9,14,,,::::::::::::::::::::
20,7,9,14,,,::::::::::::::::::::
20,8,9,19,,,::::::::::::::::::::
20,9,9,13,,,::::::::::::::::::::
30,0,9,19,,,::::::::::::::::::::
30,1,9,23,,,::::::::::::::::::::
30,2,9,24,,,::::::::::::::::::::
30,3,9,22,,,::::::::::::::::::::
30,4,9,22,,,::::::::::::::::::::
30,5,9,21,,,::::::::::::::::::::
30,6,9,19,,,::::::::::::::::::::
30,7,9,16,,,::::::::::::::::::::
30,8,9,21,,,::::::::::::::::::::
30,9,9,18,,,::::::::::::::::::::
50,0,9,40,,,
50,1,9,31,,,::::::::::::::::::::
50,2,9,32,,,::::::::::::::::::::
50,3,9,40,,,
50,4,9,38,,,
50,5,9,34,,,::::::::::::::::::::
50,6,9,35,,,::::::::::::::::::::
50,7,9,33,,,::::::::::::::::::::
50,8,9,31,,,::::::::::::::::::::
50,9,9,39,,,::::::::::::::::::::
75,0,9,55,,,"A:
A:::::::::::::::"
75,1,9,53,1.0,52.0,"1:
1:
1:
1:
1:
1:
1"
75,2,9,52,,,":
:
:
:
:
:
:
:
:
:"
75,3,9,51,,,"A:
A:::::::::::::::"
75,4,9,54,,,
75,5,9,54,,,
75,6,9,53,,,"A:
A:"
75,7,9,51,,,
75,8,9,54,,,
75,9,9,50,,,
100,0,9,67,,,"A:
A:::::::::::::::"
100,1,9,71,,,
100,2,9,65,,,"A:
A:::::::::::::::"
100,3,9,71,,,"I:
I:
I:
I:
I:
I:
I"
100,4,9,71,,,A:
100,5,9,76,,,"A:
A:"
100,6,9,68,,,A:
100,7,9,68,,,"I:
I:
I:
I:
I:
I:
I"
100,8,9,65,,,"A:
A:::::"
100,9,9,68,,,
