n,trial,window,true,pred,err,gen
1,0,7,1,,,::::::::::::::::::::
1,1,7,1,,,::::::::::::::::::::
1,2,7,1,,,::::::::::::::::::::
1,3,7,1,,,::::::::::::::::::::
1,4,7,1,,,::::::::::::::::::::
1,5,7,1,,,::::::::::::::::::::
1,6,7,1,,,::::::::::::::::::::
1,7,7,1,,,::::::::::::::::::::
1,8,7,1,,,::::::::::::::::::::
1,9,7,1,,,::::::::::::::::::::
2,0,7,2,,,::::::::::::::::::::
2,1,7,2,,,::::::::::::::::::::
2,2,7,2,,,::::::::::::::::::::
2,3,7,2,,,::::::::::::::::::::
2,4,7,2,,,::::::::::::::::::::
2,5,7,2,,,::::::::::::::::::::
2,6,7,2,,,::::::::::::::::::::
2,7,7,2,,,::::::::::::::::::::
2,8,7,2,,,::::::::::::::::::::
2,9,7,2,,,::::::::::::::::::::
5,0,7,5,,,::::::::::::::::::::
5,1,7,5,,,::::::::::::::::::::
5,2,7,5,,,::::::::::::::::::::
5,3,7,5,,,::::::::::::::::::::
5,4,7,5,,,::::::::::::::::::::
5,5,7,5,,,::::::::::::::::::::
5,6,7,5,,,::::::::::::::::::::
5,7,7,5,,,::::::::::::::::::::
5,8,7,5,,,::::::::::::::::::::
5,9,7,5,,,::::::::::::::::::::
10,0,7,10,,,::::::::::::::::::::
10,1,7,10,,,::::::::::::::::::::
10,2,7,10,,,::::::::::::::::::::
10,3,7,10,,,::::::::::::::::::::
10,4,7,10,,,::::::::::::::::::::
10,5,7,10,,,::::::::::::::::::::
10,6,7,10,,,::::::::::::::::::::
10,7,7,10,,,::::::::::::::::::::
10,8,7,10,,,::::::::::::::::::::
10,9,7,10,,,::::::::::::::::::::
15,0,7,15,,,::::::::::::::::::::
15,1,7,15,,,::::::::::::::::::::
15,2,7,15,,,::::::::::::::::::::
15,3,7,15,,,::::::::::::::::::::
15,4,7,15,,,::::::::::::::::::::
15,5,7,15,,,::::::::::::::::::::
15,6,7,15,,,::::::::::::::::::::
15,7,7,15,,,::::::::::::::::::::
15,8,7,15,,,::::::::::::::::::::
15,9,7,15,,,::::::::::::::::::::
20,0,7,20,,,::::::::::::::::::::
20,1,7,20,,,::::::::::::::::::::
20,2,7,20,,,::::::::::::::::::::
20,3,7,20,,,::::::::::::::::::::
20,4,7,20,,,::::::::::::::::::::
20,5,7,20,,,::::::::::::::::::::
20,6,7,20,,,::::::::::::::::::::
20,7,7,20,,,::::::::::::::::::::
20,8,7,20,,,::::::::::::::::::::
20,9,7,20,,,::::::::::::::::::::
30,0,7,30,,,::::::::::::::::::::
30,1,7,30,,,::::::::::::::::::::
30,2,7,30,,,::::::::::::::::::::
30,3,7,30,,,::::::::::::::::::::
30,4,7,30,,,::::::::::::::::::::
30,5,7,30,,,::::::::::::::::::::
30,6,7,30,,,::::::::::::::::::::
30,7,7,30,,,::::::::::::::::::::
30,8,7,30,,,::::::::::::::::::::
30,9,7,30,,,::::::::::::::::::::
50,0,7,50,,,::::::::::::::::::::
50,1,7,50,,,::::::::::::::::::::
50,2,7,50,,,::::::::::::::::::::
50,3,7,50,,,::::::::::::::::::::
50,4,7,50,,,::::::::::::::::::::
50,5,7,50,,,::::::::::::::::::::
50,6,7,50,,,::::::::::::::::::::
50,7,7,50,,,::::::::::::::::::::
50,8,7,50,,,::::::::::::::::::::
50,9,7,50,,,::::::::::::::::::::
75,0,7,75,,,
75,1,7,75,,,
75,2,7,75,,,
75,3,7,75,,,
75,4,7,75,,,
75,5,7,75,,,
75,6,7,75,,,
75,7,7,75,,,
75,8,7,75,,,
75,9,7,75,,,
100,0,7,100,,,
100,1,7,100,,,
100,2,7,100,,,
100,3,7,100,,,
100,4,7,100,,,
100,5,7,100,,,
100,6,7,100,,,
100,7,7,100,,,
100,8,7,100,,,
100,9,7,100,,,
